Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET All Plan,17092,118,20,977,"105,97","0,000%","94,89809","25759,62","11,95","277959,8"
GET Plan from User,17080,141,12,1144,"121,72","0,000%","94,87360","51,70","94,13","558,0"
TOTAL,34172,129,12,1144,"114,69","0,000%","189,72955","25811,30","106,05","139307,6"
