Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET All Plan,11214,240,48,1429,"125,44","0,000%","62,22360","15096,51","7,84","248439,9"
GET Plan from User,11197,155,16,923,"113,49","0,000%","62,20141","33,83","61,72","557,0"
TOTAL,22411,198,16,1429,"126,87","0,000%","124,35288","15130,31","69,48","124592,5"
