Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET All Plan,18336,107,21,1042,"108,19","0,000%","101,81406","10098,88","12,83","101570,0"
GET Plan from User,18327,134,14,880,"123,62","0,000%","101,84552","42,37","101,05","426,0"
TOTAL,36663,121,14,1042,"117,00","0,000%","203,57815","10141,22","113,80","51010,4"
