Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET All Plan,26418,120,19,932,"120,63","0,000%","73,30067","7270,37","9,23","101566,0"
GET Plan from User,26417,7800,26,37906,"5063,11","0,341%","71,92253","33,21","71,36","472,8"
TOTAL,52835,3960,19,37906,"5250,66","0,170%","143,83485","7166,51","80,41","51020,3"
