Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET All Plan,25903,132,19,1549,"126,99","0,000%","71,92281","19515,80","9,06","277856,0"
GET Plan from User,25899,7944,31,39039,"5493,92","0,529%","70,58545","41,67","70,03","604,5"
TOTAL,51802,4037,19,39039,"5509,56","0,264%","141,17140","19196,13","78,92","139241,0"
