Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET All Plan,25329,132,24,1282,"124,47","0,000%","70,23971","19059,11","8,85","277856,0"
GET Plan from User,25316,8102,41,37911,"5347,22","0,446%","69,68154","41,13","69,14","604,4"
TOTAL,50645,4116,24,37911,"5493,60","0,223%","138,91251","18892,34","77,65","139265,8"
