Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET All Plan,26338,120,17,829,"121,25","0,000%","73,03411","7243,93","9,20","101566,0"
GET Plan from User,26327,7802,30,39127,"5112,70","0,311%","72,16000","33,31","71,60","472,7"
TOTAL,52665,3961,17,39127,"5275,25","0,156%","144,33275","7192,66","80,68","51029,9"
