Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET All Plan,32643,132,17,1070,"123,74","0,000%","90,51710","8977,99","11,40","101566,0"
GET Plan from User,32625,6263,17,35043,"4278,42","0,144%","89,37132","40,87","88,67","468,3"
TOTAL,65268,3197,17,35043,"4307,41","0,072%","178,76354","8908,69","99,92","51031,1"
