Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET All Plan,25755,130,22,1902,"128,49","0,000%","71,42738","7084,56","9,00","101566,0"
GET Plan from User,25747,7989,34,37466,"5029,09","0,299%","70,22880","32,42","69,68","472,7"
TOTAL,51502,4059,22,37466,"5300,18","0,150%","140,44915","6998,76","78,51","51027,2"
