Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET All Plan,19626,48,23,1739,"68,68","0,000%","16,56942","4498,43","2,09","278005,9"
GET Plan from User,19625,40,13,2618,"138,45","0,000%","16,58390","9,04","16,45","558,0"
GET Susbcriptions By Plan,19625,73,30,2566,"74,30","0,000%","16,59852","3210,64","16,42","198071,7"
POST Login,19624,147807,296,255068,"75234,20","3,435%","15,94808","21,27","3,96","1365,6"
TOTAL,78500,36990,13,255068,"74217,14","0,859%","63,63468","7426,36","37,47","119503,8"
