Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET All Plan,20285,49,21,3888,"137,97","0,000%","16,60364","1647,21","2,09","101589,0"
GET Plan from User,20285,36,12,3704,"117,04","0,000%","16,62435","6,92","16,49","426,0"
GET Susbcriptions By Plan,20285,68,29,2308,"88,45","0,000%","16,64036","1583,43","16,46","97439,4"
POST Login,20285,142639,317,250818,"74241,38","2,771%","16,53522","22,28","4,10","1379,9"
TOTAL,81140,35698,12,250818,"72042,34","0,693%","65,91389","3231,88","38,81","50208,6"
