Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET All Plan,16529,323,51,10488,"697,30","0,000%","13,52959","3282,52","1,70","248441,0"
GET Plan from User,16527,429,13,27986,"1329,28","0,000%","13,55269","7,37","13,45","557,0"
GET Susbcriptions By Plan,16526,572,60,20157,"1172,98","0,000%","13,57658","3446,02","13,43","259912,6"
POST Login,16523,178635,399,299582,"88772,92","11,445%","13,25809","17,06","3,29","1317,6"
TOTAL,66105,44981,13,299582,"89014,69","2,861%","52,76534","6573,32","31,07","127566,3"
