Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET All Plan,27122,209,24,2199,"176,87","0,000%","45,09705","4472,98","5,68","101566,0"
GET Plan from User,27109,63506,31,112856,"27865,56","1,191%","41,88743","19,42","41,56","474,7"
TOTAL,54231,31850,24,112856,"37279,92","0,596%","83,79003","4175,79","46,84","51032,5"
