Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET All Plan,27158,218,24,2462,"179,80","0,000%","45,19080","12262,24","5,69","277856,0"
GET Plan from User,27153,63749,24,114893,"27376,84","1,819%","41,61360","24,62","41,29","605,7"
TOTAL,54311,31981,24,114893,"37198,94","0,910%","83,23117","11317,78","46,53","139243,6"
