Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET All Plan,26740,217,22,2117,"180,19","0,000%","44,46203","4409,99","5,60","101566,0"
GET Plan from User,26732,64730,27,115947,"28708,68","1,384%","41,00214","19,03","40,68","475,2"
TOTAL,53472,32468,22,115947,"38112,01","0,692%","82,01265","4086,87","45,85","51028,1"
