Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET All Plan,26986,212,22,2789,"180,56","0,000%","44,87928","4451,38","5,65","101566,0"
GET Plan from User,26978,63762,25,112711,"28044,60","1,305%","41,70390","19,34","41,38","475,0"
TOTAL,53964,31982,22,112711,"37454,58","0,652%","83,41681","4156,83","46,63","51028,0"
